240990,115291,128658,84898,68364,94927,46962,96911,126096,126360,73168,43499,45038,253098,91746,48260,48187,201761,217592,131925,237541,100784,48797,51167,63634,54660,47936,92266,212289,146247,46696,46919,88043,51513,51693,53520,250476,104602,49109,50579,81401,55338,257117,43719,71082,211504,256438,57180,155321,72766,82203,48225,59054,18690,55335,141733,95712,174750,47968,255837,49456,142898,48409,238028
364108,646114,135669,98942,134973,132760,178597,134319,85064,79219,95136,67279,58424,766524,132394,115846,116942,211719,82407,215807,794696,107911,174630,56005,83708,104796,53219,130945,746995,128859,62372,180166,63183,60434,123855,87398,735610,130686,79431,54519,58126,74991,760842,172664,668851,65931,768043,71903,197186,527831,127913,53103,28368,59066,96220,65494,742287,92342,65641,808723,58480,161507,76546,63197
263426,119704,115563,141354,64574,85267,45100,84482,61846,46031,87175,87150,91187,202873,80101,44473,43858,165100,43633,108149,203035,113450,41826,147621,63774,49142,92368,81855,190970,80288,42440,45951,82788,100073,45799,101769,185990,88122,91821,128661,116217,96881,192957,41731,61524,43346,195301,101876,116607,153799,70034,16730,53087,48205,49595,54748,93798,87127,43378,268498,108888,137618,77514,47580
845650,264933,437045,247651,136697,377874,82041,367181,182096,95290,178396,70816,71205,787469,225613,83078,83435,574084,76823,375213,693798,244191,80502,78746,133696,105797,71731,343025,664831,225816,71343,87316,78843,86347,86511,109940,690903,314681,101750,76537,91464,155985,744281,73609,149488,72125,711840,161803,465944,132393,29436,70024,128000,82204,100136,104008,259932,218398,77894,930736,78056,440127,79383,92180
353008,586910,133712,101222,89870,160360,54873,166243,89768,63607,99878,143432,78538,1106104,99061,70999,65808,186617,60358,138207,1152913,126281,58105,187304,72062,76952,71223,157505,1108080,108335,62349,62443,96763,160651,70597,206273,1033805,145513,112918,156650,133625,144340,1073260,57147,901563,63702,1010461,145522,175089,30330,132322,153811,527599,72763,78450,80595,1113064,101103,71408,1266058,63418,161514,79969,72318
1830839,344926,1034028,333300,563584,537026,135554,511809,942383,171046,1000535,116816,118691,2763505,922480,146584,140827,1881428,121870,2163967,2036444,301895,135188,154222,447873,231059,123513,550041,1823835,1320466,158214,142854,146884,146200,173899,171924,2964830,577314,147906,131711,133567,197881,3067500,122224,196505,119549,3116303,251076,66270,175100,465425,116533,197085,155262,173901,175622,324125,834138,130578,2749124,132125,2872318,128027,163300
414626,133374,285855,117815,74208,183598,54470,174999,166403,54936,73976,103660,53035,433819,195454,56224,56448,378535,54506,226421,361574,106436,55877,155977,68720,66690,53314,172099,357642,90861,53710,58941,93140,116461,59969,97695,397428,161323,59579,142805,149476,140036,401044,55039,71736,53402,405904,20648,251229,145544,161901,101907,71925,57164,64831,67740,155980,184366,54468,491505,57594,272202,57433,63366
6515877,1170480,1592213,700417,911123,846250,239554,839676,1053358,286561,1520677,226151,215960,7650015,1945994,267484,267946,5905088,229875,2640695,7552456,2321286,238429,256361,641830,373073,208875,841575,7206368,1657785,253609,273474,245885,557587,296168,300134,7948456,1821181,264191,225237,430630,399747,8323457,210108,1102497,212563,126096,405453,3112222,1009417,709873,195258,768219,256279,308398,753655,2074423,1764018,228911,8743891,235424,3436837,224927,312284
247897,112118,123178,80619,63545,85427,47245,87616,104554,133245,70421,41709,43792,224239,88913,45222,49839,185815,210782,113049,219117,115373,44945,43918,56311,54257,45492,92504,217728,137526,52166,45852,78706,53631,48166,47808,210676,94907,48349,41182,70829,51580,208657,45019,66937,17148,212680,53381,119597,63704,72141,43341,65953,211501,52035,152069,95548,180606,53658,282653,47229,142194,45616,230421
415049,625918,167631,106761,154927,175519,209536,173740,109694,75402,104904,77351,65841,1173111,146337,72845,74201,220629,67711,201170,1212626,106499,210383,62040,77747,89364,58769,171366,1148943,124400,68942,214287,66990,61002,75519,127523,1104956,153115,114300,54871,67155,73835,1158748,207596,30444,66952,1102761,71728,196498,901505,149362,61520,669171,71078,96084,81664,1193002,117525,67736,1336343,72479,208588,68989,80558
265038,79117,139303,75574,155315,80530,216616,84068,60383,45731,75988,52696,46574,214938,124262,48318,50319,180951,46909,155317,205894,80647,230910,42222,54412,59296,46695,84837,197169,111246,53112,210142,50629,48132,52747,43948,184163,85090,47128,41863,48211,49689,201601,18870,207569,45013,210462,55023,122282,57117,73603,41732,172699,43713,67710,55115,140832,84552,45182,264563,45098,140895,48074,48853
6091604,1160009,1478155,674414,814777,844377,225625,806859,1079052,292308,1357896,222212,208769,7491880,1796028,263803,247244,5591941,235526,2579431,7153749,2231028,230990,239182,591164,366462,211608,844494,6795251,1591497,248238,267943,247656,504940,284511,301223,7621264,1686533,261345,215575,393486,370484,126230,201326,1158955,208428,8334908,400639,3067064,1070658,742831,192817,761069,256842,299406,700838,2072023,1653030,221571,8424357,228987,3338462,224912,299810
533122,216596,216523,205656,81725,166863,52514,173887,76203,60092,77092,146997,51469,406123,115829,53011,62386,367012,55852,123056,404591,247416,55160,147479,60441,63132,50380,158894,402383,90877,50615,57824,53757,158433,56936,130343,363989,143159,55269,119307,87417,21174,370911,49714,73849,51494,400083,140059,197917,144335,155994,96901,74992,55357,63156,80220,154577,104144,54123,529852,56586,148743,54747,62227
256181,93635,178247,127812,65643,108448,49395,116194,72318,48287,94679,78104,94021,415927,268963,47041,51349,359758,73023,130368,431669,86464,45343,126119,66468,56287,93516,101542,436604,102449,51314,50386,86681,91714,54320,78741,375229,102803,93991,121902,19920,87419,393737,48200,67167,70840,430992,149432,133646,133655,91440,116225,58158,81390,53033,86393,100716,96905,49275,555657,109992,128659,80548,81901
266103,117328,119803,78243,58387,87079,43112,85097,55592,68587,89107,109058,39313,242627,107319,50983,43474,179125,43083,118689,215960,105279,42329,173158,84138,52736,45325,82740,228177,100052,67103,47026,82864,117816,46909,102536,187457,88175,54729,17590,121887,119462,215915,41852,54924,41191,225576,142850,131772,156685,76501,128649,54533,50585,52031,58253,86294,111943,72141,297212,55265,147580,44124,50594
302648,169883,120855,174127,64568,125024,46636,124735,73893,46957,114438,47601,172004,321704,98743,49268,51463,184239,45401,124628,299077,91785,47350,57476,70194,58973,169311,109608,291868,88402,43967,51549,46151,82205,52332,116686,264800,115051,19320,54733,93987,55307,262184,47135,114400,48349,264669,59581,148055,112938,101755,91792,79480,49048,53374,58465,179859,97089,50935,373366,194848,135464,181126,51757
2150294,260946,552417,236636,279243,361055,89446,362433,219523,130204,328453,86835,86044,1636422,328097,101410,102770,1457775,99301,508134,1665703,619176,87996,83748,216179,142714,77590,364122,1554228,356862,94384,100227,87030,361617,98997,116061,1533511,43350,114987,88139,102889,143093,1691890,85131,153277,94878,1824900,161282,577857,145540,314800,88063,130788,104553,127942,562853,211807,357398,104183,1974144,86912,670737,89408,119458
5802797,1091634,1494357,666798,841228,787698,237564,795141,1033159,263951,1414622,203801,193401,7087504,1755161,249602,241218,5340349,224125,2465151,6901490,2098573,219407,237628,621057,332948,205922,815443,6575427,1567080,240388,251632,231877,471872,279933,287384,128922,1532636,264609,187202,375069,363509,7621535,183942,1104828,210395,7949714,396784,2964856,1034926,689562,185769,735458,250139,286157,659580,1979335,1563790,218019,8004095,226344,3232623,212875,290177
297909,118160,126572,87614,60673,125606,45945,123084,91657,45498,108169,122636,79442,314045,98841,64293,59787,194520,46205,128022,253458,118159,44862,130721,53601,67094,82215,107432,250799,81313,42187,53300,45564,162446,61425,19578,287679,116145,116671,102549,78735,130405,301791,43943,127868,47817,300640,97671,172000,206517,109965,101771,87547,53504,66672,59367,179567,88869,47687,353889,87118,167557,86857,56726
287471,101694,153197,89068,76078,97461,52839,99193,116513,58398,107311,96577,47417,291390,163059,253917,248998,233373,47171,148824,260577,96349,54806,47935,69211,244725,48705,87917,208808,89390,50532,49601,83114,48979,20768,61446,280066,99028,52334,46895,54336,56941,285001,52738,75546,48175,296790,59987,174156,70630,86533,45811,123957,51695,237376,60848,215803,93560,46776,319458,50948,287674,49350,52787
652152,124375,146047,97526,84080,93335,49241,97731,73247,61377,116202,141130,89189,482465,107675,61287,48014,449598,50012,116128,479497,117709,46279,142376,53496,51200,88747,88294,425565,71696,42186,45693,57524,21794,48959,162483,472004,362485,82175,117831,91609,158506,505450,48080,60981,53635,557540,116454,146347,160717,86212,100097,60455,51510,65463,367229,93373,81453,46270,583617,84292,143437,97582,57291
268502,96843,122559,84882,61624,87557,45198,85484,154517,115580,78292,42031,46537,233180,82744,87742,81639,190082,75381,142355,221757,125821,51669,80939,103319,86917,43189,82595,179561,99822,109289,45412,18430,57469,83039,45564,232213,87077,46166,82863,86716,53766,247938,50619,66997,78706,246200,93145,147031,96756,78849,82790,63198,88020,98779,69685,124255,92347,111920,293447,45553,170522,66029,88639
299401,94679,156081,85178,154828,93885,214566,92796,77117,50961,78676,58647,41981,266952,139120,53573,55898,213313,46361,160026,207590,91964,217986,44762,55058,65881,43948,87044,207895,93075,43120,18494,45388,45702,49603,53301,251738,100308,51537,47023,50406,57804,268507,210087,214342,45876,274088,58951,142992,62431,87350,45961,180212,46924,67850,54660,151052,100420,45628,311708,44860,153969,48845,49278
250586,98100,153682,80415,96176,83724,41282,77703,152319,112427,95869,38744,46266,231534,87001,43575,44991,178636,51885,136188,203831,164251,50878,43599,174100,46608,45040,77551,223559,134829,17072,43124,109296,42178,50533,42187,240738,94480,43973,67115,51377,50611,248578,53125,68973,52162,253961,53710,158473,62369,71344,42436,62400,46680,51732,129765,109316,140941,204700,289713,43450,174712,63018,45918
1006931,198583,564424,122149,533400,243617,110026,229597,167608,125383,924245,74260,71671,1329174,443437,93010,95692,518241,129289,1346051,1252128,134114,100521,82536,442589,159197,73362,285774,1043661,43848,134831,93057,99745,71693,89341,81336,1565710,357166,88472,100176,102487,90849,1596709,111144,124452,137516,1657704,90804,1321646,108338,225584,80255,128934,146116,112267,188704,147653,342312,143902,1655203,73817,1793477,84651,154939
5772759,1089903,1350707,644040,877768,668714,200463,662397,237501,313323,1516738,196706,178738,6299952,1976195,227307,220215,4992800,205120,1278867,7312172,2147132,173598,174891,635095,318664,172233,698672,116556,1043789,223369,207652,179455,425397,208716,250629,6576513,1553790,291555,228046,436345,401514,6801006,196869,1149129,217234,7215389,356638,1822953,1108680,663137,190593,746864,212098,264325,668438,2079262,1769820,226341,7719078,201019,1605135,184495,255569
940529,264245,497623,256323,216804,384721,92613,385286,180114,127221,282590,75561,74256,836875,297146,94645,95357,647697,81721,425555,707259,219192,85069,80346,220635,149690,75570,34442,699602,286022,77554,87033,82587,88284,87902,107423,816092,364633,109613,82716,101603,158966,846657,84848,171531,92465,843624,172184,550651,157788,343127,81847,131012,92250,111855,118862,273972,300275,89742,1005342,84655,498308,87374,97020
225441,134615,115418,188369,69158,79015,44913,83643,62525,43139,140066,40702,208329,208586,80901,45876,44766,171678,44095,103636,181167,78886,47963,46034,50365,44799,17924,75557,172339,73415,45037,43930,43186,88738,48694,82194,206038,77613,169266,45337,93551,50373,211933,46697,58795,45500,209199,53318,123658,71234,71742,92368,53229,47929,53133,52942,97691,93160,48136,259719,196603,124655,189990,46040
